,Step,Month,USI,Gini,Average_Trust,S_R,S_I,S_O,Water_Supply,Food_Supply,Elec_Supply,Total_Demand,Total_Supply,Active_Shocks,Cooperating_Pct
0,0,1,0.8685341424919262,0.20542259356590598,0.7451844467808785,0.9343747167527324,0.794577406434094,1.0,511.7256,59.3,351.9,273833.18,511.7256,[],1.0
1,1,2,0.8794034876944257,0.20542259356590598,0.788661827590876,0.9343747167527324,0.794577406434094,1.0,511.7256,59.81,358.4,273833.18,511.7256,[],1.0
2,2,3,0.8002840571062646,0.20542259356590797,0.6994126922525935,0.707175664532326,0.794577406434092,0.999970465206047,336.77941050000004,60.261,382.699225,273833.18,336.77941050000004,['drought'],1.0
3,3,4,0.7736113288926187,0.2054225935659062,0.5657105394925869,0.7353821012942988,0.7945774064340938,0.9987752683494956,350.2122075,52.0135,371.485625,273833.18,350.2122075,"['drought', 'economic_crisis']",1.0
4,4,5,0.7858756757410019,0.20542259356590353,0.5873296450057123,0.7635885380562722,0.7945774064340965,0.9980071134679269,363.6450045,51.47515,399.01494999999994,273833.18,363.6450045,"['drought', 'economic_crisis']",1.0
5,5,6,0.8565773809084662,0.2054225935659013,0.6336439648904514,1.0,0.7945774064340987,0.9980881523093151,563.1133904999999,55.619699999999995,349.45567500000004,273833.18,563.1133904999999,"['drought', 'economic_crisis']",1.0
6,6,7,0.8481149685245081,0.2054225935659013,0.5995931694768223,1.0,0.7945774064340987,0.9982892981871112,560.2476735,47.17415,404.25275,273833.18,560.2476735,"['flood', 'economic_crisis']",1.0
7,7,8,0.8598538836815166,0.2054225935659013,0.6459530604582614,1.0,0.7945774064340987,0.9988850678337063,568.8448245,50.37929999999999,391.816425,273833.18,568.8448245,['flood'],1.0
8,8,9,0.8714001793981245,0.2054225935659013,0.6924049091652192,1.0,0.7945774064340987,0.9986184019931799,573.1434,50.17,402.0,273833.18,573.1434,['flood'],1.0
9,9,10,0.8465422638874766,0.20542259356589843,0.7328901419799001,0.859611680366857,0.7945774064341016,0.9990898267690476,470.78040000000004,63.16,323.1,273833.18,470.78040000000004,[],1.0
10,10,11,0.8568288275269149,0.20542259356589843,0.7732067638404686,0.859611680366857,0.7945774064341016,0.9999194594662326,470.78040000000004,58.88,345.6,273833.18,470.78040000000004,[],1.0
11,11,12,0.866550941635697,0.20542259356589843,0.8120952383993904,0.859611680366857,0.7945774064341016,0.9999194413424388,470.78040000000004,68.93,342.7,273833.18,470.78040000000004,[],1.0
